count,start_station_id,start_station_name
6546,3532,Ditmars Blvd & 19 St
6514,3541,Amsterdam Ave & W 125 St
6510,372,Franklin Ave & Myrtle Ave
6499,3062,Myrtle Ave & Marcy Ave
6498,3390,E 109 St & 3 Ave
6478,3055,Greene Ave & Nostrand Ave
6467,3399,7 St & 3 Ave
6430,3570,35 Ave & 37 St
6419,3578,Park Pl & Franklin Ave
6382,3058,Lewis Ave & Kosciuszko St
6303,3449,Eckford St & Engert Ave
6284,3517,31 St & Hoyt Ave N
6283,3371,4 Ave & 2 St
6236,3387,E 106 St & Madison Ave
6169,3041,Kingston Ave & Herkimer St
6168,3424,E 106 St & Lexington Ave
6138,3545,Broadway & W 122 St
6133,3629,Adam Clayton Powell Blvd & W 126 St
6084,3693,N 11 St & Kent Ave
6073,3689,W 104 St & Amsterdam Ave
6059,3597,43 St & Broadway
6046,3605,31 Ave & Crescent St
6035,3591,21 St & 31 Dr
6018,443,Bedford Ave & S 9 St
6007,3792,Columbus Dr at Exchange Pl
5977,3479,Picnic Point
5953,3054,Greene Ave & Throop Ave
5950,3662,31 Ave & Steinway St
5943,3056,Kosciuszko St & Nostrand Ave
5929,3121,Jackson Ave & 46 Rd
5919,3273,Manila & 1st
5901,3520,Adam Clayton Powell Blvd & W 118 St
5833,3491,E 118 St & 1 Ave
5824,3120,Center Blvd & Borden Ave
5806,3494,E 115 St & Lexington Ave
5790,3603,31 Ave & 30 St
5788,3556,24 St & 41 Ave
5782,3194,McGinley Square
5760,3568,34 St & 35 Ave
5754,373,Willoughby Ave & Walworth St
5739,3653,31 St & 35 Ave
5737,3643,E 41 St & 5 Ave
5703,3595,35 St & Broadway
5683,3511,Adam Clayton Powell Blvd & W 115 St
5613,3588,Vernon Blvd & 10 St
5592,3531,Frederick Douglass Blvd & W 129 St
5585,3205,JC Medical Center
5560,3614,Crescent St & 30 Ave
5553,3514,Astoria Park S & Shore Blvd
5539,3279,Dixon Mills
5464,3060,Willoughby Ave & Tompkins Ave
5449,3504,E 123 St & Lexington Ave
5448,3618,27 St & Hunter St
5431,3524,19 St & 24 Ave
5430,3066,Tompkins Ave & Hopkins St
5424,3617,28 Ave & 35 St
5415,3348,Coffey St & Conover St
