count,start_station_id,start_station_name,start_station_longitude,start_station_latitude
5977,3479,Picnic Point,-74.02535319328308,40.68512559515415
6007,3792,Columbus Dr at Exchange Pl,-74.03281,40.71687
6018,443,Bedford Ave & S 9 St,-73.96408963,40.70853074
6035,3591,21 St & 31 Dr,-73.930819,40.7659
6046,3605,31 Ave & Crescent St,-73.9265474,40.7658346
6059,3597,43 St & Broadway,-73.9166368,40.7577284
6073,3689,W 104 St & Amsterdam Ave,-73.96649479866028,40.799041392882984
6084,3693,N 11 St & Kent Ave,-73.95921930670738,40.72248188638219
6133,3629,Adam Clayton Powell Blvd & W 126 St,-73.94776493310928,40.809495347779475
6138,3545,Broadway & W 122 St,-73.9612547,40.8120562
6168,3424,E 106 St & Lexington Ave,-73.945993,40.791976
6169,3041,Kingston Ave & Herkimer St,-73.94142771,40.67890679
6236,3387,E 106 St & Madison Ave,-73.94945003,40.7934337
6283,3371,4 Ave & 2 St,-73.98501142859459,40.674613422475815
6284,3517,31 St & Hoyt Ave N,-73.9170074,40.7711528
6303,3449,Eckford St & Engert Ave,-73.94800901412964,40.721462562298164
6382,3058,Lewis Ave & Kosciuszko St,-73.93705428,40.69237074
6419,3578,Park Pl & Franklin Ave,-73.9564947,40.6741806
6430,3570,35 Ave & 37 St,-73.9236611,40.7557327
6467,3399,7 St & 3 Ave,-73.98983001708984,40.67260298150126
6478,3055,Greene Ave & Nostrand Ave,-73.950916,40.6883337
6498,3390,E 109 St & 3 Ave,-73.9432083,40.79329668
6499,3062,Myrtle Ave & Marcy Ave,-73.94954908,40.69539817
6510,372,Franklin Ave & Myrtle Ave,-73.95801365375519,40.694546087246025
6514,3541,Amsterdam Ave & W 125 St,-73.956461,40.813358
6546,3532,Ditmars Blvd & 19 St,-73.9183302,40.78145
6553,3302,Columbus Ave & W 103 St,-73.9643412291,40.7969347
6574,3347,Van Brunt St & Wolcott St,-74.01275056,40.6773429
6615,3071,Boerum St & Broadway,-73.94976519,40.70538077
6621,3324,3 Ave & 14 St,-73.99333264,40.6685455
6662,3381,3 St & Hoyt St,-73.99364123,40.6777287
6677,3278,Monmouth and 6th,-74.04879033565521,40.72568548362901
6679,3540,Morningside Ave & W 123 St,-73.9551508,40.81
6682,3640,Journal Square,-74.0625,40.73367
6730,3042,Fulton St & Utica Ave,-73.9298911,40.6794268
6745,3144,E 81 St & Park Ave,-73.9590097,40.77677702
6773,3338,2 Ave & E 99 St,-73.94552579,40.7862586
6797,3095,Graham Ave & Herbert St,-73.94500379,40.71929301
6905,3275,Columbus Drive,-74.03891444206238,40.71835519823214
6933,3317,10 St & 5 Ave,-73.98700053,40.6686273
7056,3192,Liberty Light Rail,-74.0557013,40.7112423
7099,3447,E 71 St & 1 Ave,-73.95622730255127,40.76703432309872
7100,3675,3 Ave & E 95 St,-73.94968539476395,40.784596798848916
7117,3610,Vernon Blvd & 30 Rd,-73.934171,40.770845
7132,3405,5 St & 6 Ave,-73.98208968,40.6704836
7142,3213,Van Vorst Park,-74.047726625,40.71848892
7151,3209,Brunswick St,-74.0506564,40.7241765
7214,3272,Jersey & 3rd,-74.04595255851744,40.72333158646436
7235,3363,E 102 St & Park Ave,-73.95033068,40.7904828
7322,3270,Jersey & 6th St,-74.04557168483734,40.72528910781132
7327,3047,Halsey St & Tompkins Ave,-73.944118,40.6823687
7334,3088,Union Ave & Jackson St,-73.952029,40.7160751
7337,3050,Putnam Ave & Throop Ave,-73.94111,40.6851532
7337,3676,Van Brunt St & Van Dyke St,-74.01472628116608,40.6758329439129
